0			
1	デュナミス孤児院	6476 1	
2	デュナミス孤児院	6476 1	
3	デュナミス孤児院	6476 1	
4			
5	{03:0}ここは孤児院外観　分離マップです		
6			
7	{03:0}ＴＯＤ２フラグを変えますか？	6476 9	pagebreak
			
8	{Char:1000}	6471 16	
9	{03:0}{Num:1000} : 英雄ごっこ		linebreak
	{Num:20000} : 第二章		linebreak
	{Num:140000} : 新たな旅立ち（スタン復活）		linebreak
	{Num:140010} : 新たな旅立ち（ロニと）		
10	{03:0}時代を変更しました	6476 12	
11	{03:0}変更しませんでした	6476 13	
12			
13			
14	{Size:384}いってえぇぇっ～!!		
15	バジル	6470 7	
16	うわ～い！		linebreak
	勝った、勝った、また勝ったぁ！		
17	シナモン	6470 5	
18	なにやってんだよ、もうっ！		linebreak
	そこで{Char:01}がやられちゃ		linebreak
	なんにもならないだろ！		
19	シナモン	6470 5	
20	英雄スタンの息子なんだろ？		linebreak
	もうちょっと、しっかりしてくれよな！		linebreak
	ったく････		
21	{Char:01}	6468 29	
22	ハハッ、わりぃわりぃ		linebreak
	なかなか父さんみたいには		linebreak
	いかなくてさぁ		
23	シナモン	6470 5	
24	でもさ、毎日毎日		linebreak
	ごっこ遊びばっかじゃ、つまんないよな～		linebreak
	{Char:01}は、こんなんだし		
25	シナモン	6470 5	
26	････そうだ！		linebreak
	今日は、本物の冒険に		linebreak
	行ってみようぜ！		
27	ユニー	6470 9	
28	あっ、それいい！		linebreak
	あたし賛成～！		
29	バジル	6470 7	
30	で、でも		linebreak
	街の外にはモンスターがいるんだぞぉ!?		linebreak
	ボクたちだけじゃ、あぶないよぉ････		
31	シナモン	6470 5	
32	だいじょうぶ！		linebreak
	モンスターが出たら		linebreak
	逃げりゃいいんだしさ		
33	シナモン	6470 5	
34	それに、いざとなったら		linebreak
	{Char:01}が守ってくれるって！		linebreak
	なっ、そうだろ？		
35	{Char:01}	6468 29	
36	ああ！　未来の大英雄		linebreak
	{Char:01}＝デュナミスに		linebreak
	まかせとけ！		
37	{Char:01}	6468 29	
38	よし、これから街を出て冒険だ！		linebreak
	みんな、オレから離れるんじゃないぞ！		linebreak
	いいなッ！		
39	{Char:01}	6468 29	
40	とうッ、ハッ、でぇいッ!!		
41	スタン	6476 221	
42	どうした、{Char:01}！		linebreak
	剣先がだんだん下がってきてるぞ！		linebreak
	もうバテたのか!?		
43	{Char:01}	6468 29	
44	くそぅッ、まだまだぁ！		
45	{Char:01}	6468 29	
46	でやぁぁぁぁッ!!		
47	スタン	6476 221	
48	な、なにぃッ!?		
49	スタン	6476 221	
50	････！	6477 18	
51	{Char:01}	6468 29	
52	はぁはぁ････		linebreak
	や、やった････！		
53	スタン	6476 221	
54	お、おい！		linebreak
	だいじょうぶか、{Char:01}!?		
55	{Char:01}	6468 29	
56	ヘヘッ････		linebreak
	オレの初勝利だね、父さん？		
57	スタン	6476 221	
58	ああ、そうだ		linebreak
	まいった、降参だ		
59	スタン	6476 221	
60	これでまた一歩		linebreak
	おまえも英雄に近づいたってわけだな		
61	{Char:01}	6468 29	
62	ううん、ちがうよ		
63	{Char:01}	6468 29	
64	英雄ってのは		linebreak
	自分でなろうとするもんじゃないし		linebreak
	なりたいからって、なれるもんでもない		
65	{Char:01}	6468 29	
66	そうだろ、父さん？		
67	スタン	6476 221	
68	ほぉ････		
69	{Char:03}	6470 55	
70	おっ、やってるな、{Char:01}！		
71	{Char:01}	6468 29	
72	あっ、{Char:03}！		
