6468	6851
6469	18
6470	1274
6471	14049
6472	2035
6473	1803
6474	2245
6475	1073
6476	6280
6477	1913
6478	921
6479	1087
6480	1497
6481	3459
6482	1221
6483	2885
6484	1817
6485	976
6486	1589
6487	944
6488	887
6489	926
6490	888
6491	822
6492	1318
6493	852
6494	875
6496	1436
6497	855
6498	871
6499	882
6500	2325
6501	1363
6502	904
6503	1124
6504	838
6505	936
6506	1064
6507	1255
6508	889
6509	1107
6510	2763
6511	10193
6512	1274
6513	1367
6514	1319
6515	1846
6516	4013
6517	1109
6518	1250
6519	961
6520	870
6521	6938
6522	857
6523	4852
6524	5359
6525	1213
6526	2441
6527	3143
6528	1611
6529	6808
6530	1119
6531	1265
6532	941
6533	1308
6534	1312
6535	2334
6536	1025
6537	1105
6538	850
6539	905
6540	905
6541	906
6542	905
6543	906
6544	906
6545	969
6546	887
6547	4691
6548	5731
6551	5359
6552	1170
6553	50
6554	3226
6555	1141
6556	1920
6557	9065
6558	3090
6559	8819
6560	1522
6561	1867
6562	7042
6563	4098
6564	1103
6565	1705
6566	10975
6567	4851
6568	1606
6569	1902
6570	2569
6571	1559
6572	2415
6573	13745
6574	2427
6575	2394
6576	2664
6577	1771
6578	2148
6579	1817
6580	1732
6581	13549
6582	1200
6583	1203
6584	1098
6585	1048
6586	1221
6587	1275
6588	833
6589	951
6590	896
6591	896
6592	2482
6593	1228
6594	7287
6595	1576
6596	5705
6597	15308
6598	5842
6599	7039
6600	2922
6601	2141
6602	977
6603	938
6604	2251
6605	1924
6606	1427
6607	4253
6608	3378
6609	1367
6610	2340
6611	1166
6612	4099
6613	4333
6614	5484
6615	964
6616	1349
6617	2220
6618	1293
6619	1747
6620	1276
6621	1276
6622	2586
6623	1322
6624	886
6625	1976
6626	1415
6627	897
6628	8262
6629	1241
6630	1100
6631	5640
6632	925
6634	3705
6635	3064
6636	1054
6637	1022
6638	1617
6639	1705
6640	2456
6641	1519
6642	845
6643	831
6644	1104
6645	1597
6646	1050
6647	8613
6648	948
6649	1074
6650	67
6651	67
6652	928
6653	140
6654	949
6655	887
6656	70
6657	140
6658	1236
6659	10223
6660	3454
6661	1470
6662	6979
6663	1337
6664	1067
6665	912
6666	827
6667	863
6668	827
6669	956
6670	863
6671	827
6672	827
6673	897
6674	1495
6675	1102
6676	1250
6677	1005
6678	2307
6679	1071
6680	1233
6681	883
6682	962
6683	995
6684	952
6685	890
6686	890
6687	890
6688	895
6689	953
6690	909
6691	995
6692	893
6693	883
6694	893
6695	883
6696	1115
6697	4301
6698	7313
6699	1417
6700	1106
6701	827
6702	827
6703	893
6704	946
6705	1177
6706	883
6707	1194
6708	9215
6709	1471
6710	977
6711	1322
6712	827
6713	944
6714	9300
6715	2252
6716	2231
6717	1530
6718	1889
6719	987
6720	823
6721	1154
6722	1199
6723	1944
6724	1102
6725	870
6726	2061
6727	6761
6728	3325
6729	1314
6730	1235
6731	1360
6732	1224
6733	1120
6734	998
6735	1809
6736	1853
6737	8881
6738	2747
6739	2684
6740	1085
6741	1613
6742	2153
6743	1095
6744	1340
6745	2321
6746	2559
6747	1629
6748	1205
6749	1205
6750	1186
6751	1563
6752	1186
6753	1186
6754	2316
6755	3415
6756	927
6757	1107
6758	1382
6759	859
6760	954
6761	1551
6762	916
6763	847
6764	823
6765	823
6766	831
6767	2414
6768	1770
6769	881
6770	1161
6771	878
6772	1614
6773	1809
6774	1194
6775	1811
6776	2340
6777	6001
6778	1339
6779	1045
6780	3519
6781	817
6782	817
6783	817
6784	817
6785	878
6786	1057
6787	965
6788	941
6789	960
6790	3391
6791	879
6792	876
6793	817
6794	817
6795	868
6796	843
6803	1424
6804	1040
6805	880
6806	1022
6807	1013
6808	879
6809	919
6810	882
6811	936
6812	1150
6813	1956
6814	877
6815	2401
6816	1109
6817	883
6818	883
6819	970
6820	942
6821	905
6822	914
6823	1179
6826	883
6827	883
6828	883
6829	883
6830	883
6831	883
6832	883
6833	883
6834	883
6835	883
6846	1080
6847	896
6848	883
6849	896
6850	882
6851	882
6852	896
6853	883
6854	989
6855	896
6856	883
6857	944
6858	883
6859	896
6860	1101
6861	883
6862	883
6863	883
6864	883
6865	896
6866	984
6867	980
6868	1008
6869	974
6876	898
6877	887
6878	1033
6879	2363
6881	2102
6882	882
6883	1263
6886	1635
6887	883
6888	1102
6889	884
6890	884
6891	917
6892	923
6893	916
6894	884
6895	945
6896	1245
6897	883
6898	883
6899	883
6901	883
6902	1330
6903	2323
6904	59
6906	1337
6907	965
6908	6820
6909	897
6910	972
6911	900
6912	948
6913	3858
6914	878
6915	868
6916	4581
6917	1904
6918	1401
6919	1345
6920	923
6921	1469
6922	1021
6923	3204
6924	1021
6925	1001
6926	1001
6927	1001
6928	1001
6929	1001
6930	1001
6931	1001
6932	1001
6933	1001
6934	1001
6935	1001
6936	1001
6937	1001
6938	1001
6939	1001
6940	1001
6941	1001
6942	1001
6943	868
6944	1218
6945	919
6946	879
6947	1224
6948	1946
6949	4367
6950	1670
6951	1598
6952	1472
6953	1827
